timestamp,metric_name,metric_value,region,device
2025-04-01T00:00:00Z,revenue,322.97,NA,iOS
2025-04-01T00:00:00Z,revenue,151.77,NA,Android
2025-04-01T00:00:00Z,revenue,111.45,NA,Web
2025-04-01T00:00:00Z,revenue,239.43,EMEA,iOS
2025-04-01T00:00:00Z,revenue,125.52,EMEA,Android
2025-04-01T00:00:00Z,revenue,96.16,EMEA,Web
2025-04-01T00:00:00Z,revenue,226.58,APAC,iOS
2025-04-01T00:00:00Z,revenue,121.52,APAC,Android
2025-04-01T00:00:00Z,revenue,80.2,APAC,Web
2025-04-01T01:00:00Z,revenue,329.97,NA,iOS
2025-04-01T01:00:00Z,revenue,158.58,NA,Android
2025-04-01T01:00:00Z,revenue,127.47,NA,Web
2025-04-01T01:00:00Z,revenue,241.71,EMEA,iOS
2025-04-01T01:00:00Z,revenue,126.18,EMEA,Android
2025-04-01T01:00:00Z,revenue,88.77,EMEA,Web
2025-04-01T01:00:00Z,revenue,228.53,APAC,iOS
2025-04-01T01:00:00Z,revenue,126.9,APAC,Android
2025-04-01T01:00:00Z,revenue,93.47,APAC,Web
2025-04-01T02:00:00Z,revenue,337.6,NA,iOS
2025-04-01T02:00:00Z,revenue,161.62,NA,Android
2025-04-01T02:00:00Z,revenue,121.56,NA,Web
2025-04-01T02:00:00Z,revenue,254.72,EMEA,iOS
2025-04-01T02:00:00Z,revenue,121.57,EMEA,Android
2025-04-01T02:00:00Z,revenue,98.92,EMEA,Web
2025-04-01T02:00:00Z,revenue,227.78,APAC,iOS
2025-04-01T02:00:00Z,revenue,131.38,APAC,Android
2025-04-01T02:00:00Z,revenue,88.84,APAC,Web
2025-04-01T03:00:00Z,revenue,341.44,NA,iOS
2025-04-01T03:00:00Z,revenue,157.01,NA,Android
2025-04-01T03:00:00Z,revenue,125.52,NA,Web
2025-04-01T03:00:00Z,revenue,238.76,EMEA,iOS
2025-04-01T03:00:00Z,revenue,134.31,EMEA,Android
2025-04-01T03:00:00Z,revenue,88.57,EMEA,Web
2025-04-01T03:00:00Z,revenue,269.4,APAC,iOS
2025-04-01T03:00:00Z,revenue,125.06,APAC,Android
2025-04-01T03:00:00Z,revenue,103.16,APAC,Web
2025-04-01T04:00:00Z,revenue,325.98,NA,iOS
2025-04-01T04:00:00Z,revenue,176.5,NA,Android
2025-04-01T04:00:00Z,revenue,129.77,NA,Web
2025-04-01T04:00:00Z,revenue,279.11,EMEA,iOS
2025-04-01T04:00:00Z,revenue,138.03,EMEA,Android
